newSegmentId,speedLimit,distance
-00004855-3100-0400-0000-000000000edd,50,35.37
-00004855-3100-0400-0000-000000001082,50,5.12
-00004855-3100-0400-0000-000000001084,50,17.55
-00004855-3100-0400-0000-000000001281,50,322.38
-00004855-3100-0400-0000-000000003502,50,129.28
-00004855-3100-0400-0000-000000003524,45,159.16
-00004855-3100-0400-0000-00000000fa5b,50,151.49
-00004855-3100-0400-0000-00000001275b,45,174.62
-00004855-3100-0400-0000-00000001383c,50,57.69
-00004855-3100-0400-0000-00000001383f,50,105.35
-00004855-3100-0400-0000-000000013a03,60,68.75
-00004855-3100-0400-0000-000000013a09,50,67.09
-00004855-3100-0400-0000-000000013a0b,50,59.38
-00004855-3100-0400-0000-000000013a0c,50,69.65
-00004855-3100-0400-0000-000000013a0d,50,87.39
-00004855-3100-0400-0000-000000013a0e,50,188.54
-00004855-3100-0400-0000-000000013a47,50,137.68
-00004855-3100-0400-0000-000000013aef,50,14.7
-00004855-3100-0400-0000-000000014309,50,109.93
-00004855-3100-0400-0000-00000001430d,50,8.67
-00004855-3100-0400-0000-000000014312,50,128.97
-00004855-3100-0400-0000-00000001431a,50,56.74
-00004855-3100-0400-0000-0000000143ad,50,221.68
-00004855-3100-0400-0000-0000000143ae,50,55.95
-00004855-3100-0400-0000-0000000143af,50,48.42
-00004855-3100-0400-0000-0000000143b0,50,132.68
-00004855-3100-0400-0000-0000000143b3,50,75.92
-00004855-3100-0400-0000-0000000143c2,50,174.99
-00004855-3100-0400-0000-0000000143c3,50,113.82
-00004855-3100-0400-0000-0000000143c4,50,93.41
-00004855-3100-0400-0000-0000000143c5,50,37.64
-00004855-3100-0400-0000-0000000143d9,50,17.0
-00004855-3100-0400-0000-0000000143da,50,129.89
-00004855-3100-0400-0000-00000001446e,50,245.59
-00004855-3100-0400-0000-00000001446f,50,51.95
-00004855-3100-0400-0000-000000014470,50,34.2
-00004855-3100-0400-0000-000000014471,50,163.48
-00004855-3100-0400-0000-00000001447b,50,80.42
-00004855-3100-0400-0000-00000001447d,50,86.64
-00004855-3100-0400-0000-00000001447f,50,87.61
-00004855-3100-0400-0000-000000014482,50,56.12
-00004855-3100-0400-0000-00000001448b,50,56.37
-00004855-3100-0400-0000-00000001448e,50,19.53
-00004855-3100-0400-0000-000000014494,50,95.81
-00004855-3100-0400-0000-000000014495,50,125.48
-00004855-3100-0400-0000-000000014499,50,55.87
-00004855-3100-0400-0000-0000000144a6,50,75.97
-00004855-3100-0400-0000-0000000144aa,50,133.75
-00004855-3100-0400-0000-0000000144af,50,98.0
-00004855-3100-0400-0000-0000000144b4,50,226.13
-00004855-3100-0400-0000-0000000144b6,50,99.16
-00004855-3100-0400-0000-0000000144bb,50,59.3
-00004855-3100-0400-0000-000000014519,50,86.8
-00004855-3100-0400-0000-00000001451a,50,41.12
-00004855-3100-0400-0000-00000001451b,50,37.32
-00004855-3100-0400-0000-00000001451c,50,76.3
-00004855-3100-0400-0000-00000001451e,50,358.61
-00004855-3100-0400-0000-00000001451f,50,135.22
-00004855-3100-0400-0000-000000014520,50,129.27
-00004855-3100-0400-0000-000000014521,50,124.24
-00004855-3100-0400-0000-000000014522,50,55.49
-00004855-3100-0400-0000-000000014523,50,62.84
-00004855-3100-0400-0000-000000014524,50,80.42
-00004855-3100-0400-0000-00000001452d,50,174.32
-00004855-3100-0400-0000-00000001452e,50,67.24
-00004855-3100-0400-0000-00000001452f,50,52.34
-00004855-3100-0400-0000-000000014530,50,57.34
-00004855-3100-0400-0000-000000014537,50,171.22
-00004855-3100-0400-0000-000000014538,50,117.44
-00004855-3100-0400-0000-00000001453b,50,76.5
-00004855-3100-0400-0000-00000001453d,50,38.78
-00004855-3100-0400-0000-00000001453e,50,104.51
-00004855-3100-0400-0000-00000001453f,50,86.77
-00004855-3100-0400-0000-000000014542,50,128.01
-00004855-3100-0400-0000-00000001457a,50,147.64
-00004855-3100-0400-0000-00000001457b,50,123.87
-00004855-3100-0400-0000-00000001457c,50,73.8
-00004855-3100-0400-0000-000000014583,70,54.23
-00004855-3100-0400-0000-000000014585,50,208.42
-00004855-3100-0400-0000-00000001458f,50,149.77
-00004855-3100-0400-0000-000000014595,50,85.16
-00004855-3100-0400-0000-000000014598,50,149.44
-00004855-3100-0400-0000-00000001459f,50,75.63
-00004855-3100-0400-0000-0000000145a0,50,79.95
-00004855-3100-0400-0000-0000000145a1,50,121.83
-00004855-3100-0400-0000-0000000145a4,50,30.25
-00004855-3100-0400-0000-0000000145ca,60,78.74
-00004855-3100-0400-0000-0000000145cb,60,78.87
-00004855-3100-0400-0000-0000000145cc,60,174.8
-00004855-3100-0400-0000-0000000145cf,60,325.69
-00004855-3100-0400-0000-0000000145d6,50,70.18
-00004855-3100-0400-0000-0000000145d9,50,56.38
-00004855-3100-0400-0000-0000000145da,50,71.31
-00004855-3100-0400-0000-0000000145db,50,69.17
-00004855-3100-0400-0000-0000000145dc,50,51.87
-00004855-3100-0400-0000-0000000145df,50,135.77
-00004855-3100-0400-0000-000000014638,50,25.55
-00004855-3100-0400-0000-00000001463b,50,98.0
-00004855-3100-0400-0000-00000001463c,50,51.97
-00004855-3100-0400-0000-00000001467a,50,106.75
-00004855-3100-0400-0000-000000014681,50,85.42
-00004855-3100-0400-0000-000000014682,50,99.11
-00004855-3100-0400-0000-000000014683,50,34.66
-00004855-3100-0400-0000-000000014686,50,75.53
-00004855-3100-0400-0000-00000001469a,60,226.52
-00004855-3100-0400-0000-0000000146d6,50,40.18
-00004855-3100-0400-0000-0000000146e4,60,87.02
-00004855-3100-0400-0000-000000014717,60,87.92
-00004855-3100-0400-0000-00000001471c,50,76.8
-00004855-3100-0400-0000-00000001471d,50,27.71
-00004855-3100-0400-0000-000000014723,40,38.55
-00004855-3100-0400-0000-000000014db8,50,54.31
-00004855-3100-0400-0000-000000014dbe,50,144.8
-00004855-3100-0400-0000-000000015111,50,24.82
-00004855-3100-0400-0000-000000015533,50,87.4
-00004855-3100-0400-0000-000000015568,50,300.07
-00004855-3100-0400-0000-00000001556a,50,41.45
-00004855-3100-0400-0000-00000001556b,50,187.05
-00004855-3100-0400-0000-00000001556c,50,75.78
-00004855-3100-0400-0000-00000001556e,50,85.15
-00004855-3100-0400-0000-00000001556f,50,125.68
-00004855-3100-0400-0000-000000015573,50,216.94
-00004855-3100-0400-0000-000000015576,50,135.47
-00004855-3100-0400-0000-00000001557b,50,131.74
-00004855-3100-0400-0000-0000000167ad,50,110.27
-00004855-3100-0400-0000-0000000167ae,50,30.66
-00004855-3100-0400-0000-0000000167b0,50,92.76
-00004855-3100-0400-0000-0000000167b1,50,21.81
-00004855-3100-0400-0000-000000016acd,50,26.06
-00004855-3100-0400-0000-000000016dbf,50,78.63
-00004855-3100-0400-0000-000000016dcb,50,42.71
-00004855-3100-0400-0000-000000016dd9,50,38.76
-00004855-3100-0400-0000-000000016dda,50,11.99
-00004855-3100-0400-0000-000000016ddb,50,42.47
-00004855-3100-0400-0000-000000016dec,50,26.36
-00004855-3100-0400-0000-000000016e1f,50,292.15
-00004855-3100-0400-0000-000000016e20,50,119.03
-00004855-3100-0400-0000-000000016e21,50,41.74
-00004855-3100-0400-0000-000000016e22,50,44.84
-00004855-3100-0400-0000-000000016e23,50,60.61
-00004855-3100-0400-0000-000000017141,50,156.53
-00004855-3100-0400-0000-00000001716d,50,33.18
-00004855-3100-0400-0000-00000001717e,50,106.7
-00004855-3100-0400-0000-000000017184,50,249.14
-00004855-3100-0400-0000-000000017186,50,62.65
-00004855-3100-0400-0000-00000001719b,50,19.94
-00004855-3100-0400-0000-0000000171ad,50,14.45
-00004855-3100-0400-0000-0000000171c0,50,9.9
-00004855-3100-0400-0000-0000000171c1,50,17.5
-00004855-3100-0400-0000-0000000171c3,50,89.43
-00004855-3100-0400-0000-0000000171c6,50,8.33
-00004855-3100-0400-0000-0000000171cb,50,319.68
-00004855-3100-0400-0000-0000000171d0,50,56.49
-00004855-3100-0400-0000-0000000172ba,50,52.14
-00004855-3100-0400-0000-0000000172bb,70,44.09
-00004855-3100-0400-0000-0000000172bd,70,115.58
-00004855-3100-0400-0000-000000017812,50,19.98
-00004855-3100-0400-0000-00000001781f,50,26.9
-00004855-3100-0400-0000-000000017834,50,15.6
-00004855-3100-0400-0000-00000001783d,60,98.93
-00004855-3100-0400-0000-000000019398,50,78.28
-00004855-3100-0400-0000-00000001b8b2,50,41.35
-00004855-3100-0400-0000-00000001b8b6,50,102.27
-00004855-3100-0400-0000-00000001b8bf,50,67.81
-00004855-3100-0400-0000-00000001ba29,50,63.16
-00004855-3100-0400-0000-00000001ba2b,50,289.35
-00004855-3100-0400-0000-00000001ba9a,50,39.93
-00004855-3100-0400-0000-00000001bdea,60,120.24
-00004855-3100-0400-0000-00000001be39,50,100.49
-00004855-3100-0400-0000-00000001be42,70,88.17
-00004855-3100-0400-0000-00000001be51,70,88.08
-00004855-3100-0400-0000-00000001be5f,50,123.16
-00004855-3100-0400-0000-00000001be75,50,59.65
-00004855-3100-0400-0000-00000001be78,50,25.46
-00004855-3100-0400-0000-00000001be79,50,46.72
-00004855-3100-0400-0000-00000001be86,70,5.27
-00004855-3100-0400-0000-00000001bfbd,50,30.56
-00004855-3100-0400-0000-00000001bfc0,50,38.54
-00004855-3100-0400-0000-00000001bfc1,50,25.38
-00004855-3100-0400-0000-00000001bfc4,50,121.21
-00004855-3100-0400-0000-00000001c128,50,94.49
-00004855-3100-0400-0000-00000001c129,50,170.82
-00004855-3100-0400-0000-00000001c12a,50,66.61
-00004855-3100-0400-0000-00000001c146,50,32.76
-00004855-3100-0400-0000-00000001c153,50,267.49
-00004855-3100-0400-0000-00000001c170,60,14.04
-00004855-3100-0400-0000-00000001c181,50,271.37
-00004855-3100-0400-0000-00000001c182,50,48.88
-00004855-3100-0400-0000-00000001c214,60,236.26
-00004855-3100-0400-0000-00000001c69a,40,26.61
-00004855-3100-0400-0000-00000001c6cc,50,53.51
-00004855-3100-0400-0000-00000001c768,70,454.36
-00004855-3100-0400-0000-00000001c775,50,5.94
-00004855-3100-0400-0000-00000001c781,50,166.14
-00004855-3100-0400-0000-00000001c783,50,105.55
-00004855-3100-0400-0000-00000001c784,30,23.32
-00004855-3100-0400-0000-00000001c78a,50,98.1
-00004855-3100-0400-0000-00000001c796,50,11.15
-00004855-3100-0400-0000-00000001c79b,50,12.7
-00004855-3100-0400-0000-00000001c79c,50,71.36
-00004855-3100-0400-0000-00000001c79f,50,34.26
-00004855-3100-0400-0000-00000001c7a3,50,29.1
-00004855-3100-0400-0000-00000001c7a4,50,182.75
-00004855-3100-0400-0000-00000001c7a9,50,59.8
-00004855-3100-0400-0000-00000001c7b2,50,88.4
-00004855-3100-0400-0000-00000001c7b6,50,98.19
-00004855-3100-0400-0000-00000001c7bb,50,27.08
-00004855-3100-0400-0000-00000001c7bf,50,104.53
-00004855-3100-0400-0000-00000001c7c0,50,70.26
-00004855-3100-0400-0000-00000001c7c3,50,43.88
-00004855-3100-0400-0000-00000001c7c5,50,22.02
-00004855-3100-0400-0000-00000001c7c6,50,14.05
-00004855-3100-0400-0000-00000001c7d2,50,16.28
-00004855-3100-0400-0000-00000001c7dd,50,129.35
-00004855-3100-0400-0000-00000001c7e2,50,27.28
-00004855-3100-0400-0000-00000001c7e5,50,96.24
-00004855-3100-0400-0000-00000001c7e6,50,29.21
-00004855-3100-0400-0000-00000001c7ee,50,11.15
-00004855-3100-0400-0000-00000001c7f7,50,69.0
-00004855-3100-0400-0000-00000001c801,50,39.05
-00004855-3100-0400-0000-00000001c806,50,57.76
-00004855-3100-0400-0000-00000001c808,50,106.93
-00004855-3100-0400-0000-00000001c809,50,96.58
-00004855-3100-0400-0000-00000001c80a,50,108.89
-00004855-3100-0400-0000-00000001c810,50,38.41
-00004855-3100-0400-0000-00000001c813,50,38.44
-00004855-3100-0400-0000-00000001c818,50,11.49
-00004855-3100-0400-0000-00000001c81a,70,10.61
-00004855-3100-0400-0000-00000001c81e,50,42.89
-00004855-3100-0400-0000-00000001c820,50,36.05
-00004855-3100-0400-0000-00000001c827,50,9.3
-00004855-3100-0400-0000-00000001c833,50,16.78
-00004855-3100-0400-0000-00000001c834,50,13.77
-00004855-3100-0400-0000-00000001c836,50,18.18
-00004855-3100-0400-0000-00000001c83f,50,33.95
-00004855-3100-0400-0000-00000001c840,45,60.59
-00004855-3100-0400-0000-00000001c841,50,57.52
-00004855-3100-0400-0000-00000001c844,30,12.29
-00004855-3100-0400-0000-00000001c846,45,42.84
-00004855-3100-0400-0000-00000001c847,45,24.61
-00004855-3100-0400-0000-00000001c848,50,26.88
-00004855-3100-0400-0000-00000001c849,50,43.37
-00004855-3100-0400-0000-00000001c84b,50,9.8
-00004855-3100-0400-0000-00000001c889,50,4.86
-00004855-3100-0400-0000-00000001c88d,50,20.63
-00004855-3100-0400-0000-00000001c88e,50,11.67
-00004855-3100-0400-0000-00000001c88f,50,14.36
