user.contributors_enabled,user.created_at,user.default_profile,user.description,user.default_profile_image,user.favourites_count,user.followers_count,user.friends_count,user.id,user.listed_count,user.location,user.name,user.profile_background_color,user.profile_background_tile,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.screen_name,user.statuses_count
False,2010-06-22T11:26:21.000Z,False,大阪トカイナカ市 喫茶店とおもちゃ屋() 山、坂、林道誘ってください🤗,False,115726,1121,976,158335158,18,大阪府トカイナカ市,山山(山デューロ)@雑魚ライダー,000000,False,FF691F,000000,000000,000000,False,xr_nex25B,47971
False,2014-05-28T09:06:28.000Z,True,1994年創業。「安心・安全・快適」をモットーに地元の皆様と共に歩んでまいりました。現在、弊社ではレトロなYT140コロナを運用しております。貸切や撮影・劇用車利用などお気軽にDMでお問合せ下さい!　※Фиктивная компания такси!!,False,15453,1506,455,2529531956,17,上尾本社営業所,㈱上尾ハイヤー【公式】,C0DEED,False,1DA1F2,C0DEED,DDEEF6,333333,True,Ageohire_taxi,25104
False,2008-01-29T16:04:07.000Z,False,動物だいすき！とくににょろ～～,False,4469,133,161,12833752,3,新宿区,Yukari,EDECE9,False,088253,D3D2CF,E3E2DE,634047,True,gurugurumpa,15462
False,2015-12-05T20:11:03.000Z,True,かき氷専門店あんどりゅ。代表🍧  芸能プロダクション NEW GATE TOKYO ニューゲートトーキョー所属,False,1608,227,60,4467366378,0,,きあらofficial❤️遊びの天才,C0DEED,False,1DA1F2,C0DEED,DDEEF6,333333,True,Meiho_Emu,475
False,2007-12-28T02:58:36.000Z,True,だるやなぎ（英：daruyanagi）は、動物界後生動物亜界脊索動物門羊膜亜門哺乳綱真獣亜綱正獣下綱霊長目真猿亜目狭鼻猿下目ヒト上科ヒト科ヒト下科ホモ属サピエンス種サピエンス亜種に属する生き物です。だるだるするのが好きです。,False,5252,3147,1876,11588872,162,キマシタワー,最後のだるやなぎ族,C0DEED,False,1DA1F2,C0DEED,DDEEF6,333333,True,daruyanagi,497975
False,2010-04-08T05:08:46.000Z,True,,False,0,41,0,130744155,4,Japan,Jiho half-hour,C0DEED,False,1DA1F2,C0DEED,DDEEF6,333333,True,jiho30min,185138
False,2010-01-10T06:21:50.000Z,False,お試しついったー,False,119,184,392,103498733,17,おおむね茅ケ崎,T. Sato,EBEBEB,False,990000,DFDFDF,F3F3F3,333333,True,camelfilter1913,14717
False,2021-04-07T04:44:15.000Z,True,"福島県南会津町田島に設置してある
Netatmo ウェザーステーションの気象情報からつぶやきます

PWSウェザーネットワーク登録
https://t.co/uoI1p5q9sp (ID:IMINAM8)
https://t.co/cTMCqevN5n (ID:TAJIMA)
https://t.co/5IVWWeJ0Wg (ID:f054285e)",False,0,0,0,1379656083103309825,0,福島県南会津郡南会津町田島,田島の天気,F5F8FA,False,1DA1F2,C0DEED,DDEEF6,333333,True,GmFVHl8oCcnRZ6N,1519
False,2011-11-14T05:44:20.000Z,True,"淡路島で観測を始めて１０年目。
 HPからも情報を見ることができます。
https://tenki.onogoro.net/
https://tenki.onogoro.net/wdl.html",False,0,165,0,412034134,10,兵庫 淡路市,淡路島私設気象観測局,C0DEED,False,1DA1F2,C0DEED,DDEEF6,333333,True,AwajiWhether,82204
False,2010-03-15T18:07:35.000Z,False,ラブライバー音ゲーマーやってます。詳しい事はツイプロ参照でお願いします。音ゲー/鉄道/音楽/アニメ/百合 /大坪由佳/新田恵海/内田彩/Pile/斉藤朱夏/村上奈津実/声優 /ラブライブ！/D4DJ/高坂穂乃果/東條希/渡辺曜/桜内梨子/黒澤ルビィ/上原歩夢/ようちか/愛本りんく  その他色々 恵海人、追い風、朱夏人,False,46188,3019,3282,123314996,144,渡辺家 (滋賀のどっかにあるんじゃないかな),⚓μ'TC@恵海人/朱夏人🌸,C0DEED,True,1B95E0,FFFFFF,DDEEF6,333333,True,mtc001,506818
