idelem,descripcion,accesoAsociado,intensidad,ocupacion,carga,nivelServicio,intensidadSat,error,subarea,st_x,st_y,velocidad
3409,SEPULVEDA Ø118 N-S (CEBREROS-CJAL. FCO. J. JIMENEZ),240102,90,0,3,0,3000,N,1718,"436004,103195086","4472588,47356732",
4739,CJAL. FCO. J. JIMENEZ Ø126 E-O (BERLANAS-SEPULVEDA),240101,90,0,6,0,1500,N,1718,"436039,137988103","4472395,05226989",
4740,CJAL. FCO. J. JIMENEZ Ø86 O-E (F. CALVO-ALHAMBRA),240604,180,3,15,0,1500,N,1712,"436730,451619122","4472483,85415038",
4741,CJAL. FCO. J. JIMENEZ Ø76 E-O (HURTUMPASCUAL-ALHAMBRA),240602,135,0,9,0,1500,N,1712,"436895,947727199","4472512,33474052",
4742,ALHAMBRA Ø23 N-S (CJAL. FCO. J. JIMENEZ -CUART POBLET),241101,135,2,6,0,3000,N,1712,"436809,990969673","4472410,09421372",
4743,ALHAMBRA Ø23 S-N (CUART POBLET-CJAL. FCO. J. JIMENEZ),240603,315,2,12,0,3000,N,1712,"436817,148294475","4472417,20280615",
4744,ALHAMBRA Ø31 S-N (CERRO MICA-ÁNGEL SANZ BRIZ),241103,180,1,6,0,3000,N,1712,"436848,007596086","4472225,74306448",
4757,"LAGUNA, 85 S-N (SABANERO-V.CARPETANA)",242101,0,0,0,0,1500,N,1712,"437007,927332104","4471492,13654845",
4746,"ALHAMBRA, 94 N-S (CULLERA-GTA. LOS CARMENES)",241301,90,1,3,0,3000,N,1712,"436869,228492762","4472052,56654993",
4747,GALLUR Ø46 E-O (ESCALONILLA-GTA.CARMENES),241302,45,1,5,0,1200,N,1712,"436975,708839387","4471941,57973658",
4748,DUQ. PARCENT Ø3 O-E (M. CASTILLO-GTA.LOS CARMENES),241304,90,1,7,0,1500,N,1712,"436785,094310191","4471871,34299176",
4749,N.S.VALVANERA  Ø56 S-N (LAGUNA-GTA.CARMENES),241303,315,4,19,0,2000,N,1712,"436948,624418082","4471825,08634181",
4750,N.S.VALVANERA Ø43 N-S (LAGUNA-V.CARPETANA),241501,315,2,12,0,3000,N,1712,"437072,020860823","4471688,02584565",
4751,(AFOROS) V.CARPETANA Ø138 E-O (ATECA-N.S.VALVANERA),241502,450,6,34,1,1500,N,1712,"437207,877265405","4471728,31227492",
3566,(AFOROS) V.CARPETANA Ø138 O-E (N.S.VALVANERA-ALBENTOSA),241604,270,6,23,0,1500,N,1712,"437217,295405096","4471732,15516418",
3567,"N.S.VALVANERA, 114 S-N (A.PAVAS-V.CARPETANA)",241503,315,2,9,0,4500,N,1712,"437164,828862734","4471604,07802877",
3568,"V.CARPETANA, 143 O-E (LAGUNA-N.S.VALVANERA)",241504,180,1,16,0,1200,N,1712,"437070,490858331","4471587,82291284",
4752,"V.CARPETANA, 143 E-O (N.S.VALVANERA-LAGUNA)",242102,0,0,0,0,1200,N,1712,"437059,903896904","4471582,6982263",
10977,(BUS)CJAL. FCO. J. JIMENEZ Ø126 E-O (BERLANAS-SEPULVEDA),0,45,4,7,0,1500,N,1718,"436040,476525758","4472398,56593123",
4754,V.CARPETANA Ø123 E-O (SALVADOR A.-TARAZONA),241602,495,2,43,1,1200,N,1712,"437345,974904364","4471906,86325488",
10978,(BUS)CJAL. FCO. J. JIMENEZ Ø86 O-E (F. CALVO-ALHAMBRA),0,17,1,2,0,1500,S,1712,"436731,12088795","4472480,00585462",
10979,(BUS)CJAL. FCO. J. JIMENEZ Ø76 E-O (HURTUMPASCUAL-ALHAMBRA),0,10,0,1,0,1500,S,1712,"436895,111141165","4472516,85230511",
4758,"VIA CARPETANA, 167 O-E (LEON V ARMENIA-LAGUNA)",242104,45,0,3,0,1500,N,1712,"436944,056157125","4471440,73261486",
4759,"ALHAMBRA,28 N-S (A.CALVO-GREG.VACAS)",240601,90,1,7,0,1500,N,1712,"436801,36802155","4472577,99845899",
4760,HIGUERAS Ø41 S-N(PALMIPEDO-SEPULVEDA),242503,225,1,16,0,1500,N,1718,"436757,82413148","4472874,95036183",
4761,HIGUERAS Ø25 N-S(ALMAZAN-CEBREROS),242501,90,1,7,0,1500,N,1718,"436765,108993995","4473038,76126792",
4762,"SEPULVEDA, 119 E-O (HIGUERAS-A. MORÁN)",242802,225,3,20,0,1300,N,1718,"436658,861932626","4472903,21879891",
4763,SEPULVEDA Ø98 O-E(BERLANAS-PALMIPEDO),240104,90,0,3,0,3000,N,1718,"436448,726607281","4472837,3542256",
4764,"CEBREROS, 54 O-E (CARLINA-HIGUERAS)",242504,180,3,20,0,1000,N,1718,"436629,255765667","4472952,27943257",
4766,CARLINA Ø7 N-S (VILLAMANIN-CEBREROS),241801,270,4,21,0,1500,N,1718,"436249,122589369","4472914,69096518",
4767,CEBREROS Ø130 GIRO E-N (CEBREROS-CARLINA),0,180,3,15,0,1500,N,1718,"436361,827325916","4472885,50436494",
4768,CEBREROS Ø130 E-O (CEBREROS-CARLINA),0,45,0,3,0,1500,N,1718,"436367,779266637","4472884,06545138",
4769,CEBREROS Ø177 O-E (RUEZA-CARLINA),241804,0,0,0,0,1500,N,1718,"436248,181818507","4472821,68015373",
4771,"VILLAMANIN,39 N-S (VILLAMANIN-VILLASANDINO)",241901,30,0,2,0,1500,N,1743,"436059,229328309","4473083,18800668",
10226,VILLAMANIN Ø46 S-N (A-5-VILLASANDINO),241903,120,1,9,0,1500,N,1743,"436124,216157656","4472975,16179352",
10225,VILLAMANIN Ø46 S-N GIRO IZDA (A-5-VILLASANDINO),241906,180,3,15,0,1400,N,1743,"436117,789191019","4472976,06171115",
10228,VILLAGARCIA Ø57 O-E (VILLAGARCIA-VILLAMMANIN),241904,150,2,13,0,1400,N,1743,"436028,370557686","4472976,97723292",
4755,(TACTICO) DUQUESA PARCENT Ø83 N-S(CUART POBLET-DUQUESA PARCENT),241001,0,0,0,0,1500,N,1712,"436561,174898876","4471932,70385405",
4745,(TACTICO)CUART POBLET Ø44 O-E CUART POBLET-ALHAMBRA),241102,225,2,17,0,1500,N,1712,"436805,77031705","4472312,22610969",
4753,"(TACTICO) LOPEZ MEZQUÍA, 5 E-O (CASTELLFLORITE-V.CARPETANA)",241603,15,0,1,0,1500,S,1712,"437321,537000796","4471807,89270294",
4756,"(TACTICO) MOCHUELO,1 S-N(PEDRO MTNEZ-V.CARPETANA)",241703,0,0,0,0,1300,N,1712,"437425,183061149","4471994,03407711",
10236,(TACTICO)VILLAMANIN Ø40 N-S (VILLAMANIN-VILLASANDINO),0,60,53,55,2,1500,N,1743,"436066,625396645","4473064,21656181",
10237,(TACTICO) VILLAMANIN Ø42 S-N (A-5-VILLASANDINO),0,150,18,26,1,1500,N,1743,"436087,4253823","4473035,71338921",
4770,(TACTICO) VILLAMANIN Ø45 S-N GIRO IZDA (A-5-VILLASANDINO),0,180,34,31,1,1400,N,1743,"436105,131919826","4472993,10278712",
10227,(TACTICO) VILLAGARCIA Ø61 O-E  (VILLAGARCIA-VILLAMMANIN),0,240,56,64,2,1400,N,1743,"436076,241305651","4473003,57407153",
4772,(TACTICO) VILLASANDINO Ø41 E-O (PARODIA-VILLAMMANIN),241902,150,13,18,0,1400,N,1743,"436092,756108665","4473056,44753655",
4765,(TACTICO)GIRO CEBREROS FRENTE IGLESIA E-S (HIGUERAS-SEPULVEDA),242901,0,0,0,0,1300,N,1718,"436552,168069168","4472930,12745457",
4802,AV. CORDOBA Ø47 S-N(SOCUELLAMOS-TOMELLOSO),252503,360,3,14,0,3000,N,1713,"440832,564396191","4470282,68587916",
4803,AV. CORDOBA Ø32 N-S(METRO ALMENDRALES-TOMELLOSO),252501,240,1,9,0,3000,N,1713,"440758,408071588","4470519,77118215",
4794,(TACTICO)TOMELLOSO Ø3 O-E(SOCUELLAMOS-AV. CORDOBA),252504,80,5,9,0,2000,N,1713,"440765,130941772","4470421,65750666",
4808,AV. ANDALUCIA Ø17 S-N(FELICIDAD-UNANIMIDAD),261503,390,1,8,0,5400,N,1706,"441130,801935723","4467917,56541325",
4809,AV. ANDALUCIA Ø28 N-S(TERTULIA-BOHEMIOS),260201,750,4,24,0,3600,N,1706,"441131,453895976","4467701,59796182",
4810,AV. ANDALUCIA Ø20 S-N(FRANCISCO PINO-ALCOCER),260303,300,0,6,0,5400,N,1706,"441147,248918979","4466861,44090788",
4811,"ORIO, 1 N-S(ARECHAVALETA-ALCOCER)",260901,0,0,0,0,1500,N,1708,"440920,919982986","4466939,48684567",
4812,(AFOROS)ALCOCER Ø20 E-O(ARECHABALETA-VIRGEN DESAMPARADOS),261002,225,3,15,0,1800,N,1708,"440777,956223248","4466856,47284932",
4813,(AFOROS)VIRGEN DESAMPARADOS Ø14 N-S(ANOETA-ALCOCER),261001,135,1,5,0,3000,N,1708,"440660,172972124","4466878,32662802",
4818,Pº TALLERES Ø19 O-E(ARROYOBUENO-ALCOCER),261104,225,3,18,0,1500,N,1708,"440540,811192423","4466723,52876067",
4819,(AFOROS)ALCOCER Ø53 O-E(COLONIA LITOS-PSO. TALLERES),261101,225,4,18,0,1500,N,1708,"440495,052879511","4466800,81723648",
10568,AV. ANDALUCIA N-S(GIGANTES Y CABEZUDOS-ALCOCER),260301,750,4,24,0,3600,N,1706,"441140,435058559","4467279,91535251",
10569,AV. ANDALUCIA S-N(GIGANTES Y CABEZUDOS-BOHEMIOS),260203,540,2,17,0,3600,N,1706,"441149,047878192","4467372,339124",
4822,AV. ANDALUCIA N-S(M-40-UNANIMIDAD),261501,2310,8,47,1,5400,N,1706,"441089,074534374","4468244,965698",
