,loop_detector_ID
0,3395
1,3396
2,3397
3,3398
4,3399
5,3400
6,3401
7,3402
8,3403
9,3404
10,3405
11,3406
12,3407
13,3408
14,3409
15,3410
16,3411
17,3412
18,3413
19,3414
20,3415
21,3416
22,3417
23,3418
24,3419
25,3420
26,3421
27,3423
28,3424
29,3425
30,3426
31,3427
32,3428
33,3430
34,3431
35,3432
36,3433
37,3434
38,3435
39,3436
40,3437
41,3438
42,3439
43,3440
44,3442
45,3443
46,3444
47,3445
48,3446
49,3447
50,3448
51,3449
52,3452
53,3453
54,3454
55,3455
56,3456
57,3457
58,3458
59,3459
60,3460
61,3461
62,3462
63,3463
64,3464
65,3465
66,3466
67,3467
68,3468
69,3469
70,3470
71,3471
72,3472
73,3473
74,3474
75,3475
76,3476
77,3477
78,3478
79,3479
80,3480
81,3481
82,3482
83,3483
84,3484
85,3485
86,3486
87,3487
88,3488
89,3489
90,3490
91,3491
92,3492
93,3493
94,3494
95,3495
96,3496
97,3497
98,3498
99,3499
100,3500
101,3501
102,3502
103,3503
104,3504
105,3505
106,3506
107,3507
108,3508
109,3509
110,3510
111,3511
112,3512
113,3513
114,3514
115,3515
116,3516
117,3517
118,3518
119,3519
120,3520
121,3521
122,3522
123,3523
124,3524
125,3525
126,3526
127,3527
128,3528
129,3529
130,3530
131,3531
132,3532
133,3533
134,3536
135,3538
136,3539
137,3551
138,3553
139,3556
140,3557
141,3558
142,3559
143,3560
144,3561
145,3562
146,3563
147,3564
148,3565
149,3566
150,3567
151,3568
152,3569
153,3570
154,3571
155,3572
156,3573
157,3574
158,3576
159,3577
160,3578
161,3579
162,3580
163,3581
164,3582
165,3583
166,3584
167,3585
168,3586
169,3587
170,3588
171,3589
172,3590
173,3591
174,3592
175,3593
176,3594
177,3595
178,3596
179,3597
180,3598
181,3599
182,3600
183,3601
184,3602
185,3603
186,3604
187,3605
188,3606
189,3607
190,3608
191,3609
192,3610
193,3611
194,3612
195,3613
196,3614
197,3615
198,3616
199,3618
200,3619
201,3620
202,3621
203,3622
204,3623
205,3624
206,3625
207,3626
208,3627
209,3628
210,3629
211,3630
212,3631
213,3632
214,3633
215,3634
216,3635
217,3636
218,3637
219,3638
220,3639
221,3640
222,3641
223,3642
224,3643
225,3644
226,3645
227,3646
228,3647
229,3648
230,3649
231,3650
232,3651
233,3653
234,3654
235,3655
236,3656
237,3657
238,3658
239,3659
240,3660
241,3661
242,3662
243,3663
244,3664
245,3665
246,3666
247,3667
248,3668
249,3669
250,3670
251,3671
252,3672
253,3674
254,3675
255,3676
256,3677
257,3678
258,3679
259,3680
260,3681
261,3683
262,3684
263,3685
264,3686
265,3687
266,3688
267,3689
268,3690
269,3691
270,3692
271,3693
272,3694
273,3695
274,3696
275,3697
276,3698
277,3699
278,3700
279,3702
280,3703
281,3704
282,3705
283,3706
284,3707
285,3708
286,3709
287,3710
288,3711
289,3712
290,3713
291,3714
292,3715
293,3716
294,3717
295,3718
296,3719
297,3720
298,3722
299,3723
300,3724
301,3725
302,3726
303,3727
304,3728
305,3729
306,3730
307,3731
308,3733
309,3734
310,3735
311,3737
312,3738
313,3739
314,3740
315,3741
316,3742
317,3743
318,3744
319,3745
320,3746
321,3747
322,3748
323,3749
324,3750
325,3751
326,3752
327,3753
328,3754
329,3755
330,3756
331,3757
332,3758
333,3759
334,3760
335,3761
336,3762
337,3763
338,3764
339,3767
340,3768
341,3769
342,3770
343,3771
344,3772
345,3773
346,3774
347,3775
348,3776
349,3777
350,3778
351,3781
352,3782
353,3783
354,3784
355,3785
356,3786
357,3787
358,3788
359,3789
360,3790
361,3791
362,3792
363,3793
364,3794
365,3795
366,3796
367,3797
368,3798
369,3799
370,3800
371,3801
372,3802
373,3803
374,3804
375,3805
376,3806
377,3807
378,3808
379,3809
380,3810
381,3811
382,3812
383,3813
384,3814
385,3815
386,3816
387,3817
388,3818
389,3819
390,3820
391,3821
392,3822
393,3823
394,3824
395,3825
396,3826
397,3827
398,3828
399,3829
400,3830
401,3831
402,3832
403,3833
404,3834
405,3835
406,3836
407,3837
408,3838
409,3839
410,3840
411,3841
412,3842
413,3843
414,3844
415,3845
416,3846
417,3847
418,3848
419,3849
420,3850
421,3851
422,3852
423,3854
424,3855
425,3856
426,3857
427,3858
428,3859
429,3860
430,3861
431,3862
432,3863
433,3864
434,3865
435,3866
436,3867
437,3868
438,3869
439,3870
440,3871
441,3872
442,3873
443,3874
444,3875
445,3876
446,3878
447,3880
448,3881
449,3882
450,3883
451,3884
452,3885
453,3886
454,3887
455,3888
456,3889
457,3891
458,3892
459,3893
460,3894
461,3895
462,3896
463,3897
464,3898
465,3899
466,3900
467,3901
468,3902
469,3903
470,3904
471,3905
472,3906
473,3907
474,3908
475,3909
476,3910
477,3911
478,3912
479,3913
480,3914
481,3915
482,3916
483,3917
484,3918
485,3919
486,3920
487,3921
488,3922
489,3923
490,3924
491,3925
492,3926
493,3927
494,3928
495,3930
496,3931
497,3932
498,3933
499,3934
500,3935
501,3936
502,3937
503,3938
504,3939
505,3940
506,3941
507,3942
508,3943
509,3944
510,3945
511,3946
512,3947
513,3948
514,3949
515,3950
516,3951
517,3952
518,3953
519,3954
520,3956
521,3957
522,3958
523,3959
524,3960
525,3961
526,3962
527,3963
528,3964
529,3965
530,3966
531,3967
532,3968
533,3969
534,3970
535,3971
536,3972
537,3973
538,3974
539,3975
540,3976
541,3977
542,3978
543,3979
544,3980
545,3981
546,3982
547,3992
548,3993
549,3994
550,3995
551,3996
552,3997
553,3998
554,3999
555,4000
556,4001
557,4002
558,4003
559,4004
560,4005
561,4006
562,4008
563,4009
564,4010
565,4011
566,4012
567,4013
568,4014
569,4015
570,4016
571,4017
572,4018
573,4019
574,4021
575,4022
576,4023
577,4024
578,4025
579,4026
580,4027
581,4028
582,4029
583,4030
584,4031
585,4032
586,4033
587,4034
588,4035
589,4036
590,4037
591,4039
