,loop_detector_ID
0,3488
1,3489
2,3490
3,3491
4,3492
5,3493
6,3494
7,3495
8,3496
9,3510
10,3521
11,3531
12,3532
13,3533
14,3536
15,3538
16,3539
17,3558
18,3559
19,3560
20,3561
21,3597
22,3598
23,3599
24,3600
25,3611
26,3703
27,3704
28,3705
29,3706
30,3761
31,3762
32,3763
33,3797
34,3799
35,3800
36,3801
37,3815
38,3816
39,3817
40,3818
41,3819
42,3820
43,3821
44,3822
45,3823
46,3826
47,3827
48,3828
49,3836
50,3837
51,3838
52,3839
53,6639
54,6640
55,6641
56,6642
57,6643
58,6644
59,6645
60,6646
61,6647
62,6648
63,6649
64,6650
65,6651
66,6652
67,6653
68,6654
69,6655
70,6656
71,6657
72,6658
73,6659
74,6660
75,6661
76,6663
77,6664
78,6665
79,6666
80,6667
81,6668
82,6669
83,6670
84,6671
85,6672
86,6673
87,6674
88,6676
89,6677
90,6678
91,6679
92,6680
93,6681
94,6682
95,6683
96,6684
97,6685
98,6686
99,6687
100,6688
101,6689
102,6690
103,6691
104,6692
105,6693
106,6694
107,6695
108,6696
109,6697
110,6698
111,6699
112,6700
113,6702
114,6703
115,6704
116,6705
117,6706
118,6707
119,6708
120,6709
121,6710
122,6711
123,6712
124,6713
125,6714
126,6715
127,6716
128,6717
129,6718
130,6719
131,6720
132,6721
133,6722
134,6723
135,6724
136,6725
137,6726
138,6727
139,6728
140,6729
141,6730
142,6731
143,6732
144,6733
145,6734
146,6735
147,6736
148,6737
149,6738
150,6739
151,6740
152,6741
153,6742
154,6743
155,6744
156,6745
157,6746
158,6747
159,6748
160,6749
161,6750
162,6751
163,6753
164,6754
165,6755
166,6756
167,6757
168,6758
169,6759
170,6760
171,6761
172,6762
173,6763
174,6764
175,6765
176,6766
177,6767
178,6768
179,6769
180,6770
181,6771
182,6772
183,6773
184,6774
185,6775
186,6776
187,6777
188,6778
189,6779
190,6780
191,6781
192,6782
193,6783
194,6784
195,6785
196,6786
197,6787
198,6788
199,6789
200,6790
201,6791
202,6792
203,6793
204,6794
205,6795
206,6796
207,6797
208,6798
209,6799
210,6800
211,6801
212,6802
213,6803
214,6804
215,6805
216,6806
217,6807
218,6808
219,6809
220,6810
221,6813
222,6815
223,6816
224,6817
225,6818
226,6819
227,6820
228,6822
229,6823
230,6914
231,6931
232,6932
233,6933
234,6934
235,6935
236,6936
237,6937
238,6938
239,6939
240,6941
241,6942
242,6943
243,6944
244,6948
245,6949
246,6950
247,6951
248,6952
249,7012
250,7013
251,7014
252,7015
253,7124
254,7125
255,7126
256,7127
257,7128
258,7129
259,7130
260,7131
261,10171
262,10172
263,10173
264,10174
265,10175
266,10176
267,10177
268,10178
269,10179
270,10180
271,10194
272,10198
273,10199
274,10200
275,10201
276,10202
277,10203
278,10204
279,10205
280,10207
281,10208
282,10210
283,10211
284,10264
285,10265
286,10266
287,10267
288,10268
289,10269
290,10270
291,10297
292,10659
293,10660
294,10661
295,10662
296,3488
297,3489
298,3490
299,3491
300,3492
301,3493
302,3494
303,3495
304,3496
305,3510
306,3521
307,3531
308,3532
309,3533
310,3536
311,3538
312,3539
313,3558
314,3559
315,3560
